obs_id,site,date,species,n_inds,n_leaf,w_weight,d_weight,leaf_area,SLA,LDMC,convex_hull_roundness,R,G,B,GCC,BCC,RCC,BITM,ExG,senesced,T1_TDD,T1_TDD_days,T3_TDD,T3_TDD_days,T1_GDD3,T1_GDD3_days,T3_GDD3,T3_GDD3_days,moist_GMD,T1_date_mean,T3_date_mean,moist_date_mean,T1_week_mean,T3_week_mean,moist_week_mean,T1_fortnight_mean,T3_fortnight_mean,moist_fortnight_mean,T1_month_mean,T3_month_mean,moist_month_mean
2024_2727,RA009,2024-08-20,Vaccinium uliginosum,4,4,0.03585,0.014475,1.6072217542795046,11.103431808493989,0.40376569037656906,0.8960328177652814,0.2849741680427821,0.3120046166629931,0.23642675065484037,0.3772829045362719,0.2814062196423734,0.34131087582135483,0.29030174125048125,0.10582821344383612,0.08859044948470456,1055.3480208333333,88,1237.0459895833333,92,1051.9315625,86,1233.849885416667,88,3439.0147988505746,11.306979166666666,10.719166666666666,24.507291666666667,12.341383928571428,12.393430059523808,22.462053571428573,12.828616071428572,13.98090550595238,22.172395833333333,13.20104538690476,14.38520424107143,28.835863095238096
2024_2742,RA009,2024-08-26,Vaccinium uliginosum,4,4,0.040125,0.016275,1.7267419956258945,10.609781847163712,0.40560747663551405,0.8998355117106337,0.27643518499097514,0.30346990366952203,0.23096737836407535,0.37431074157328104,0.2817562881815163,0.3439329702452027,0.28206280964576913,0.09853764811261558,0.04258440114506608,1121.7128125,94,1301.293875,98,1118.2963541666666,92,1298.0977708333332,94,3585.263757183908,9.8103125,8.629802083333333,27.860416666666666,11.095967261904764,10.709578869047618,24.39375,11.869575892857142,11.976669642857145,23.10513392857143,12.554222470238097,13.63388244047619,25.61622023809524
2024_2757,RA009,2024-09-02,Vaccinium uliginosum,4,4,0.04015,0.01405,1.5690005457880682,11.167263671089454,0.34993773349937735,0.8904328392062212,0.33009645463126086,0.3162660413531435,0.2341768767197033,0.3600478678549508,0.2627583594815864,0.3771937726634628,0.3079112690699813,0.06844425199067412,0.25094109081948884,1192.3651041666667,101,1371.2091458333334,105,1188.948645833333,99,1368.0130416666666,101,3774.2429238505742,9.9540625,10.885395833333334,26.142708333333335,10.093184523809525,9.987895833333331,26.99702380952381,10.594575892857144,10.348737351190476,25.695386904761904,11.794791666666669,12.363915178571428,24.011458333333337
2024_2781,RA009,2024-09-10,Vaccinium uliginosum,4,4,0.041125,0.0162,1.8443514005613593,11.384885188650369,0.39392097264437687,0.9183741881610716,0.374458006914883,0.35530398922221285,0.24442808988140396,0.3623690952970563,0.2476799546975531,0.3899509500053905,0.3391242462988714,0.08696362739531116,0.33279195740176415,1274.735520833333,109,1467.1608020833332,113,1271.3190625,107,1463.9646979166666,109,3984.276257183908,10.5875,12.635760416666669,38.971875,10.30373511904762,12.125976190476193,26.36443452380952,10.230394345238096,11.284294642857144,26.505877976190476,10.920613839285714,11.316743675595236,25.089136904761904
2024_2794,RA009,2024-09-17,Vaccinium uliginosum,4,4,0.03875,0.01225,1.5253649274429335,12.451958591370888,0.31612903225806455,0.8914974976920206,0.5215162818549208,0.3532951160522736,0.2228091988801524,0.31483842168873477,0.20913440238347095,0.4760271759277942,0.39244892147043525,-0.04404040572126003,0.9370375515183468,1337.5370833333334,116,1521.3561354166666,120,1334.120625,114,1518.16003125,116,4320.617923850575,7.933645833333333,7.103395833333333,47.536458333333336,8.971651785714286,7.742190476190476,48.04880952380952,9.637693452380953,9.934083333333334,37.20662202380952,10.078180803571428,10.153933779761903,31.485825892857143
2024_0004,RA009,2024-06-11,Vaccinium vitis-idaea,4,4,0.032175,0.015625,0.828290460655762,5.301058948196877,0.4856254856254856,0.8778081894066907,0.26504675688531576,0.3022265611570518,0.2032000750691398,0.393543355939239,0.2630695906755122,0.34338705338524883,0.2830164436085877,0.1335088164662972,0.01662228702361835,159.5040625,18,234.59510416666663,22,156.0876041666667,16,231.399,18,797.5022988505747,10.229583333333334,12.586177083333334,40.57395833333333,10.333244047619049,12.557633928571429,40.90863095238095,10.287284226190476,13.453334077380951,42.229464285714286,5.608158482142858,8.360833333333334,44.305683269476376
2024_0030,RA009,2024-06-17,Vaccinium vitis-idaea,4,4,0.03375,0.01765,0.9513008346260912,5.3898064284764375,0.5229629629629629,0.8923183770467973,0.3031501165354144,0.3522611608115045,0.20649966983115084,0.40749892933030574,0.24085595566540077,0.3516451150042935,0.31831587685829865,0.19174507659749257,0.0159674620791916,227.30447916666668,24,314.1741666666667,28,223.88802083333337,22,310.9780625,24,1061.773132183908,11.76125,14.417625,43.24166666666667,11.147142857142857,13.166462797619047,43.54925595238095,10.802217261904762,12.898787946428572,42.54389880952381,8.083173363095238,11.220505952380952,44.2405471743295
2024_0035,RA009,2024-06-22,Vaccinium vitis-idaea,4,4,0.037175,0.019225,0.9026876330393684,4.695384307096845,0.5171486213853396,0.9040081896508616,0.2831702978198587,0.31280437188383825,0.2097862121889175,0.3879099427519993,0.2605170382018331,0.3515730190461676,0.29698572863282297,0.13179875108520636,0.0169875252648454,282.96375,29,371.42478125,33,279.5472916666667,27,368.2286770833333,29,1310.9710488505748,11.0609375,11.699885416666667,46.11875,11.344821428571429,12.403196428571428,48.00848214285714,10.999107142857143,12.440977678571429,45.34092261904762,10.086164434523807,12.949400297619048,44.778399527914615
2024_0545,RA009,2024-07-01,Vaccinium vitis-idaea,4,4,0.041875,0.02065,1.0396137347760088,5.0344490788184455,0.493134328358209,0.8890450926692484,0.29839128837239404,0.335985078801261,0.21073849190420552,0.3967751491221551,0.2500557198512369,0.353169131026608,0.31059537661794423,0.1616023550306425,0.02727933276686959,392.7864583333333,38,498.5653541666667,42,389.37,36,495.36925,38,1732.007507183908,12.639166666666666,13.661552083333332,50.575,12.356517857142856,14.355221726190477,46.54181547619048,11.82014136904762,13.170799107142855,47.87388392857143,11.31117931547619,13.034793526785714,45.20889136904762
2024_0707,RA009,2024-07-09,Vaccinium vitis-idaea,4,4,0.038125,0.01805,0.923948768298554,5.118829741266227,0.4734426229508197,0.8690108230731326,0.27617729120241685,0.3103814302821194,0.2208083461073242,0.38652833422744937,0.27037594719950264,0.343095718573048,0.2831516588272933,0.12271753989515792,0.01814586192568561,491.72739583333333,46,600.3387291666667,50,488.3109375,44,597.142625,46,2084.091882183908,12.218333333333334,11.990322916666669,38.671875,12.317440476190477,12.809142857142858,43.62455357142857,12.43875,13.571981398809523,45.13095238095238,11.865119047619048,13.062272321428573,45.94962797619048
